,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
39,"[0.8626885725462183, 0.8297, 0.7374]","[0.7681815943670294, 0.6521, 0.7463]","[0.7894267653573936, 0.5783, 0.8397]","[0.7972103004291845, 0.7427, 0.6967]","[0.789462223228751, 0.7737, 0.6718]","[0.7087029995775243, 0.6236, 0.6768]","[0.8549262555102377, 0.8602, 0.7112]","[0.8743217805337171, 0.7597, 0.8002]","[0.8628000000000001, 0.73, 0.7874]","[0.7479245669775546, 0.6363, 0.7384]","[0.8974012642498245, 0.8553, 0.8756]","[0.8956130378583775, 0.777, 0.8729]"
40,"[0.8633433678589042, 0.8297, 0.747]","[0.7681815943670294, 0.6521, 0.7463]","[0.7902641957966394, 0.5783, 0.8397]","[0.7977286392569095, 0.7464, 0.6953]","[0.789462223228751, 0.7737, 0.6718]","[0.7094389250037478, 0.6021, 0.6895]","[0.854442178552301, 0.8423, 0.7414]","[0.8743217805337171, 0.7597, 0.8002]","[0.8606057142857143, 0.74, 0.7783]","[0.746681869427078, 0.6363, 0.7384]","[0.8973134691231294, 0.8915, 0.8543]","[0.8959712207808388, 0.8344, 0.7885]"
41,"[0.863300848682756, 0.8368, 0.741]","[0.7681939041804126, 0.6521, 0.7463]","[0.7904262791074612, 0.5662, 0.8374]","[0.797262134311957, 0.7246, 0.7253]","[0.7924498719579116, 0.7737, 0.6599]","[0.7094593673766983, 0.6021, 0.6895]","[0.8529127013554156, 0.8459, 0.7342]","[0.8743138712688043, 0.7597, 0.8002]","[0.8604114285714286, 0.7599, 0.7714]","[0.74623347340371, 0.625, 0.7407]","[0.9010886595710195, 0.8192, 0.8812]","[0.8976764829551649, 0.8344, 0.7971]"
42,"[0.8631052604724732, 0.8297, 0.7434]","[0.7681939041804126, 0.6521, 0.7463]","[0.7912502026041386, 0.6024, 0.833]","[0.7953650142024838, 0.7319, 0.7053]","[0.7924760029963591, 0.781, 0.6611]","[0.7094593673766983, 0.6021, 0.6895]","[0.8530259959625922, 0.8459, 0.7371]","[0.8743296897986301, 0.7597, 0.8002]","[0.8638971428571429, 0.8099, 0.776]","[0.7497181510710259, 0.6477, 0.7441]","[0.9039588848668215, 0.8192, 0.88]","[0.8987666048930901, 0.8152, 0.8007]"
43,"[0.8624674728302465, 0.8226, 0.7422]","[0.7685139593283765, 0.663, 0.7316]","[0.7920741261008158, 0.6024, 0.8341]","[0.7967023283780141, 0.7391, 0.711]","[0.7901154991899377, 0.7737, 0.6348]","[0.7094525532523814, 0.6021, 0.6895]","[0.8533298315000206, 0.7849, 0.7701]","[0.8743138712688043, 0.7597, 0.8002]","[0.8663085714285714, 0.7899, 0.7886]","[0.7504740186532745, 0.6818, 0.6877]","[0.8969352747312118, 0.8553, 0.8587]","[0.899148147571364, 0.8344, 0.8032]"
44,"[0.8627310917223668, 0.8085, 0.7554]","[0.7676645822049338, 0.663, 0.7373]","[0.7922091955265006, 0.6024, 0.8341]","[0.7967075117662915, 0.7391, 0.711]","[0.7905945682281413, 0.7664, 0.6611]","[0.7096671981683634, 0.6075, 0.6857]","[0.853540971449759, 0.7634, 0.7744]","[0.8743217805337171, 0.7597, 0.8002]","[0.86712, 0.7599, 0.8]","[0.7473864917495131, 0.6363, 0.7384]","[0.8960573234642606, 0.8553, 0.8756]","[0.8997632878077648, 0.8344, 0.8117]"
45,"[0.8626885725462183, 0.8085, 0.7554]","[0.7676645822049338, 0.663, 0.7373]","[0.7920606191582473, 0.6265, 0.8105]","[0.7972725010885116, 0.75, 0.701]","[0.7915439959583993, 0.7591, 0.7208]","[0.7096671981683634, 0.6075, 0.6857]","[0.853927203065134, 0.8064, 0.7644]","[0.8743217805337171, 0.7597, 0.8002]","[0.8685028571428571, 0.75, 0.8057]","[0.7468099825766117, 0.6363, 0.7384]","[0.8961721324760925, 0.8553, 0.8756]","[0.8997477146372229, 0.8344, 0.8105]"
46,"[0.8625440073473136, 0.8085, 0.7494]","[0.7529789748387414, 0.8151, 0.5549]","[0.7912231887190017, 0.5783, 0.8341]","[0.7972932346416206, 0.75, 0.7081]","[0.7898280577670157, 0.7518, 0.7267]","[0.7096808264169973, 0.6129, 0.6857]","[0.8544370287974292, 0.8709, 0.6968]","[0.8743138712688043, 0.7597, 0.8002]","[0.8682971428571428, 0.74, 0.8057]","[0.7462847186635235, 0.625, 0.7407]","[0.900480847155438, 0.8553, 0.8744]","[0.8988444707457992, 0.8407, 0.8056]"
47,"[0.8626460533700698, 0.8085, 0.7494]","[0.7528928061450588, 0.8151, 0.5527]","[0.7909125290399265, 0.5783, 0.8318]","[0.7982728950260206, 0.7572, 0.6896]","[0.7888002369214153, 0.7007, 0.7589]","[0.7096671981683634, 0.6129, 0.6857]","[0.854272236641536, 0.8674, 0.6911]","[0.8743217805337171, 0.7597, 0.8002]","[0.8697828571428571, 0.7599, 0.7966]","[0.74623347340371, 0.625, 0.7407]","[0.8965840942244314, 0.8553, 0.8756]","[0.8995374768349088, 0.8471, 0.7971]"
48,"[0.8629777029440278, 0.8085, 0.7518]","[0.7536683243882023, 0.8151, 0.5515]","[0.7910746123507483, 0.5783, 0.833]","[0.7973969024071655, 0.7536, 0.701]","[0.7891312300750831, 0.7007, 0.7601]","[0.7096740122926802, 0.6129, 0.6857]","[0.8543340336999958, 0.8745, 0.6896]","[0.8743217805337171, 0.7597, 0.8002]","[0.868502857142857, 0.7, 0.8171]","[0.74623347340371, 0.625, 0.7407]","[0.8973134691231293, 0.8553, 0.8744]","[0.8994284646411163, 0.8471, 0.7958]"
49,"[0.8633688793645935, 0.8085, 0.7518]","[0.7478704022847014, 0.7608, 0.6308]","[0.7915068345129397, 0.6144, 0.8262]","[0.7973969024071655, 0.7536, 0.701]","[0.789514485305646, 0.7007, 0.7589]","[0.7094321108794309, 0.6129, 0.6831]","[0.8545142751205043, 0.8064, 0.7629]","[0.8736336744862933, 0.7532, 0.8027]","[0.8695314285714286, 0.7599, 0.8046]","[0.7462590960336168, 0.625, 0.7407]","[0.8960573234642606, 0.8553, 0.8756]","[0.8998022207341193, 0.8662, 0.7873]"
50,"[0.8638876133136043, 0.8014, 0.765]","[0.7478580924713182, 0.7608, 0.6297]","[0.7918985358474256, 0.6385, 0.8128]","[0.7977856565279592, 0.7609, 0.6981]","[0.7873717401529537, 0.7737, 0.6623]","[0.709425296755114, 0.6129, 0.6831]","[0.8547614633543443, 0.8781, 0.6839]","[0.8736336744862933, 0.7532, 0.8027]","[0.8685485714285714, 0.73, 0.824]","[0.7468099825766118, 0.6363, 0.7384]","[0.896969042087633, 0.8553, 0.8756]","[0.8998878731720991, 0.828, 0.8081]"
