,Diag: Oppositional Defiant Disorder,Diag: Autism Spectrum Disorder,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: No Diagnosis Given,Diag: Specific Phobia,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Specific Learning Disorder with Impairment in Mathematics
10,"0.8156,0.729","0.8216,0.6858","0.8459,0.6782","0.7337,0.7564","0.75,0.7417","0.6747,0.8408","0.6265,0.722","0.7825,0.6036","0.7319,0.6066","0.6204,0.5907","0.5645,0.4753","0.5454,0.5693"
9,"0.8156,0.729","0.8025,0.7188","0.8172,0.7026","0.7532,0.7113","0.68,0.7531","0.6144,0.8868","0.6265,0.7152","0.7717,0.5821","0.6485,0.6566","0.6058,0.6038","0.4731,0.6096","0.5909,0.4961"
8,"0.8156,0.729","0.7961,0.7213","0.7706,0.7256","0.7208,0.7625","0.68,0.7589","0.6265,0.8879","0.6747,0.6704","0.7717,0.6342","0.6123,0.6896","0.6058,0.605","0.5538,0.4867","0.6022,0.4645"
7,"0.8226,0.7266","0.7898,0.7139","0.81,0.6853","0.7078,0.7868","0.73,0.7486","0.6265,0.8856","0.6626,0.6659","0.7499,0.6478","0.6522,0.6638","0.6131,0.6122","0.5108,0.5133","0.6022,0.4611"
6,"0.8226,0.7266","0.8025,0.698","0.7957,0.704","0.7402,0.7284","0.58,0.7943","0.6265,0.8912","0.6626,0.6525","0.6847,0.6716","0.8116,0.4378","0.6569,0.5477","0.5376,0.4867","0.6363,0.4431"
5,"0.8368,0.7122","0.8089,0.6858","0.7563,0.727","0.6688,0.8453","0.7699,0.6674","0.6265,0.8912","0.6867,0.6368","0.6739,0.6852","0.8043,0.4421","0.6058,0.6002","0.543,0.4816","0.6136,0.4882"
4,"0.8368,0.7194","0.7898,0.7164","0.7993,0.6954","0.7143,0.7686","0.7599,0.6697","0.6265,0.8912","0.6506,0.6816","0.663,0.718","0.7717,0.4764","0.6131,0.5919","0.6075,0.4081","0.3864,0.5626"
3,"0.8368,0.7182","0.6815,0.7763","0.7849,0.7112","0.6558,0.8465","0.8199,0.6149","0.6626,0.8722","0.6987,0.6345","0.6195,0.735","0.779,0.4721","0.6204,0.5728","0.6236,0.384","0.625,0.3766"
2,"0.6383,0.789","0.8152,0.6186","0.8351,0.6307","0.6299,0.8575","0.7999,0.6446","0.5903,0.898","0.6747,0.6614","0.6195,0.735","0.7935,0.4564","0.3431,0.8174","0.6236,0.384","0.2501,0.7057"
1,"0.7305,0.7266","0.6369,0.7983","0.896,0.5661","0.5584,0.8794","0.75,0.6949","0.5662,0.9025","0.6265,0.6984","0.5761,0.7712","0.9239,0.2733","0.3431,0.8174","0.6613,0.3587","0.7386,0.1872"
