,Amount missing,Persentage missing
"SympChck,CSC_55iP",5,0.3531073446327684
"APQ_SR,APQ_SR_21",5,0.3531073446327684
"APQ_SR,APQ_SR_15",5,0.3531073446327684
"APQ_SR,APQ_SR_14",5,0.3531073446327684
"CBCL,CBCL_67",5,0.3531073446327684
"APQ_SR,APQ_SR_16",5,0.3531073446327684
"SRS,SRS_37",5,0.3531073446327684
"ESWAN,DMDD_10A",5,0.3531073446327684
"CBCL,CBCL_56C",5,0.3531073446327684
"DTS,DTS_14",5,0.3531073446327684
"APQ_SR,APQ_SR_33",5,0.3531073446327684
"DTS,DTS_13",5,0.3531073446327684
"DTS,DTS_07",5,0.3531073446327684
"CCSC,CCSC_32",5,0.3531073446327684
"SRS,SRS_21",5,0.3531073446327684
"CBCL,CBCL_82",5,0.3531073446327684
"SRS,SRS_15",5,0.3531073446327684
"SympChck,CSC_55hP",5,0.3531073446327684
"SympChck,CSC_55gC",5,0.3531073446327684
"CCSC,CCSC_52",5,0.3531073446327684
"CBCL,CBCL_56D",5,0.3531073446327684
"ESWAN,DMDD_6A",5,0.3531073446327684
"SympChck,CSC_43P",5,0.3531073446327684
"ESWAN,DMDD_6C",5,0.3531073446327684
"ESWAN,DMDD_7A",5,0.3531073446327684
"CCSC,CCSC_48",5,0.3531073446327684
"SympChck,CSC_44P",5,0.3531073446327684
"CCSC,CCSC_47",5,0.3531073446327684
"CCSC,CCSC_46",5,0.3531073446327684
"CBCL,CBCL_40",5,0.3531073446327684
"SympChck,CSC_51P",5,0.3531073446327684
"SympChck,CSC_52C",5,0.3531073446327684
"SympChck,CSC_07P",5,0.3531073446327684
"CBCL,CBCL_29",5,0.3531073446327684
"SympChck,CSC_53C",5,0.3531073446327684
"SympChck,CSC_55bC",5,0.3531073446327684
"SympChck,CSC_13P",5,0.3531073446327684
"SympChck,CSC_55eC",5,0.3531073446327684
"SympChck,CSC_55eP",5,0.3531073446327684
"ESWAN,SocAnx_05",5,0.3531073446327684
"CCSC,CCSC_50",5,0.3531073446327684
"CBCL,CBCL_09",5,0.3531073446327684
"RBS,RBS_26",5,0.3531073446327684
"RBS,RBS_25",5,0.3531073446327684
"CBCL,CBCL_55",5,0.3531073446327684
"SCARED_SR,SCARED_SR_30",5,0.3531073446327684
"SDQ,SDQ_15",5,0.3531073446327684
"SWAN,SWAN_12",5,0.3531073446327684
"C3SR,C3SR_18",5,0.3531073446327684
"SympChck,CSC_28C",5,0.3531073446327684
"ICU_P,ICU_P_15",5,0.3531073446327684
"RBS,RBS_44",5,0.3531073446327684
"CCSC,CCSC_20",5,0.3531073446327684
"RBS,RBS_28",5,0.3531073446327684
"SWAN,SWAN_15",5,0.3531073446327684
"SDQ,SDQ_19",5,0.3531073446327684
"CCSC,CCSC_18",5,0.3531073446327684
"CIS_SR,CIS_SR_03",5,0.3531073446327684
"SympChck,CSC_27C",5,0.3531073446327684
"APQ_P,APQ_P_37",5,0.3531073446327684
"APQ_P,APQ_P_28",5,0.3531073446327684
"SympChck,CSC_55cP",4,0.2824858757062147
"CCSC,CCSC_43",4,0.2824858757062147
"SCARED_SR,SCARED_SR_29",4,0.2824858757062147
"SympChck,CSC_15C",4,0.2824858757062147
"CCSC,CCSC_25",4,0.2824858757062147
"SympChck,CSC_25C",4,0.2824858757062147
"SympChck,CSC_55cC",4,0.2824858757062147
"SympChck,CSC_09P",4,0.2824858757062147
"ESWAN,SocAnx_01",4,0.2824858757062147
"ESWAN,SocAnx_02",4,0.2824858757062147
"ESWAN,SocAnx_03",4,0.2824858757062147
"ESWAN,SocAnx_04B",4,0.2824858757062147
"CBCL,CBCL_103",4,0.2824858757062147
"SDQ,SDQ_17",4,0.2824858757062147
"SCARED_SR,SCARED_SR_28",4,0.2824858757062147
"SympChck,CSC_55fC",4,0.2824858757062147
"SCARED_SR,SCARED_SR_39",4,0.2824858757062147
"SympChck,CSC_17P",4,0.2824858757062147
"SympChck,CSC_35C",4,0.2824858757062147
"CCSC,CCSC_49",4,0.2824858757062147
"CBCL,CBCL_53",4,0.2824858757062147
"ASSQ,ASSQ_12",4,0.2824858757062147
"C3SR,C3SR_35",4,0.2824858757062147
"C3SR,C3SR_34",4,0.2824858757062147
"C3SR,C3SR_33",4,0.2824858757062147
"C3SR,C3SR_25",4,0.2824858757062147
"CBCL,CBCL_44",4,0.2824858757062147
"SympChck,CSC_49P",4,0.2824858757062147
"APQ_P,APQ_P_36",4,0.2824858757062147
"SympChck,CSC_50C",4,0.2824858757062147
"CCSC,CCSC_06",4,0.2824858757062147
"ESWAN,MDD_7",4,0.2824858757062147
"ESWAN,MDD_8A",4,0.2824858757062147
"ESWAN,DMDD_5B",4,0.2824858757062147
"SympChck,CSC_52P",4,0.2824858757062147
"APQ_P,APQ_P_30",4,0.2824858757062147
"SDQ,SDQ_06",4,0.2824858757062147
"PCIAT,PCIAT_14",4,0.2824858757062147
"APQ_SR,APQ_SR_04",4,0.2824858757062147
"ESWAN,DMDD_1C",4,0.2824858757062147
"CIS_P,CIS_P_10",4,0.2824858757062147
"CCSC,CCSC_53",4,0.2824858757062147
"SWAN,SWAN_03",4,0.2824858757062147
"CBCL,CBCL_73",4,0.2824858757062147
"APQ_SR,APQ_SR_26",4,0.2824858757062147
