,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
21,"[0.5963356973995272, 0.539, 0.6355]","[0.5649342655965336, 0.4891, 0.5968]","[0.6242301042735967, 0.6144, 0.6087]","[0.5099391470216251, 0.4964, 0.4907]","[0.6606187829904361, 0.5255, 0.7315]","[0.6012647014732138, 0.5323, 0.6362]","[0.672434392122935, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5973885714285714, 0.44, 0.6903]","[0.5436161217587373, 0.6363, 0.4532]","[0.5676900426819386, 0.4578, 0.6177]","[0.8542195505582981, 0.7834, 0.7897]"
22,"[0.5994183376702893, 0.5674, 0.6151]","[0.5632293564429562, 0.5, 0.5889]","[0.6189691501431736, 0.6265, 0.5661]","[0.5164417076154341, 0.471, 0.5422]","[0.6621910004703586, 0.6131, 0.648]","[0.5958611008899246, 0.6021, 0.5184]","[0.6724395418778066, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.59568, 0.42, 0.6926]","[0.5462808752690376, 0.5341, 0.5513]","[0.5676900426819386, 0.4578, 0.6177]","[0.8539781664149004, 0.7961, 0.7812]"
23,"[0.5971818290048811, 0.5674, 0.5995]","[0.5658144172534343, 0.5326, 0.5787]","[0.6217448268409962, 0.6144, 0.5717]","[0.5144979370114656, 0.4746, 0.5379]","[0.6588244516837098, 0.635, 0.6253]","[0.5994044455347043, 0.6021, 0.5133]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5941428571428571, 0.42, 0.6903]","[0.5375948037306549, 0.5909, 0.4983]","[0.5676900426819386, 0.4578, 0.6177]","[0.8544842944575085, 0.7643, 0.7983]"
24,"[0.5946349303535895, 0.5745, 0.6019]","[0.5604534935250381, 0.5326, 0.5617]","[0.6237033335134259, 0.6024, 0.5807]","[0.513329082954946, 0.4928, 0.515]","[0.6590770517220355, 0.635, 0.6193]","[0.6011863390435694, 0.6129, 0.5184]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5942114285714285, 0.42, 0.6903]","[0.5345649277441836, 0.5795, 0.4994]","[0.5682168134421092, 0.4699, 0.62]","[0.8543674956784453, 0.7898, 0.7738]"
25,"[0.5949070530809395, 0.5745, 0.6031]","[0.5604781131518045, 0.5435, 0.5549]","[0.6194756604894915, 0.5542, 0.6256]","[0.5131632145300741, 0.4783, 0.5179]","[0.6588723585875303, 0.6277, 0.6313]","[0.601421426332502, 0.5538, 0.6033]","[0.6724395418778066, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5968571428571429, 0.42, 0.6983]","[0.5346289843189505, 0.5795, 0.5017]","[0.568041223188719, 0.494, 0.602]","[0.8534642517870213, 0.8216, 0.7518]"
26,"[0.5987592904399884, 0.5815, 0.5947]","[0.5581884878625241, 0.5435, 0.5674]","[0.6219609379220918, 0.5542, 0.6323]","[0.5128288859861915, 0.4819, 0.5179]","[0.660919289932582, 0.6131, 0.642]","[0.6019052291590008, 0.6129, 0.5133]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5987657142857143, 0.48, 0.6606]","[0.5343855693348365, 0.5454, 0.5321]","[0.568041223188719, 0.494, 0.602]","[0.8543480292152679, 0.8025, 0.7641]"
27,"[0.6015442964777115, 0.5603, 0.6259]","[0.5561635235609829, 0.5217, 0.5764]","[0.6216097574153114, 0.6144, 0.5863]","[0.5128781281748254, 0.4819, 0.5193]","[0.6645253732383324, 0.635, 0.6313]","[0.6005321831091486, 0.6236, 0.5133]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5993942857142858, 0.47, 0.664]","[0.5349877011376447, 0.5682, 0.5186]","[0.568041223188719, 0.494, 0.602]","[0.8542468036067462, 0.8152, 0.7628]"
28,"[0.6038275762368828, 0.4255, 0.7458]","[0.5562743118814318, 0.5217, 0.5776]","[0.621879896266681, 0.6144, 0.5863]","[0.515578673467272, 0.4819, 0.5207]","[0.6619471107781824, 0.6204, 0.6336]","[0.5998678059882524, 0.6183, 0.507]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5979428571428571, 0.42, 0.7017]","[0.5347186635236241, 0.5795, 0.4983]","[0.568041223188719, 0.494, 0.602]","[0.8540716054381512, 0.7643, 0.7995]"
29,"[0.6038488358249571, 0.4255, 0.747]","[0.5548525284356689, 0.5217, 0.5719]","[0.6222040628883245, 0.6024, 0.5919]","[0.5151976944288943, 0.4819, 0.5207]","[0.6621213177011653, 0.6204, 0.6336]","[0.6017723537348216, 0.5538, 0.6033]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5990171428571429, 0.49, 0.6503]","[0.5335528338628677, 0.5795, 0.5006]","[0.568041223188719, 0.494, 0.602]","[0.8538691542211079, 0.7643, 0.7995]"
30,"[0.6049670901576611, 0.5532, 0.6391]","[0.5564220296420307, 0.5109, 0.5821]","[0.6224201739694203, 0.6024, 0.5919]","[0.5181703676058966, 0.4746, 0.5393]","[0.6578227618765569, 0.6277, 0.6241]","[0.602532128596154, 0.5699, 0.5894]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5991028571428572, 0.49, 0.6514]","[0.5323485702572512, 0.5795, 0.5152]","[0.568041223188719, 0.494, 0.602]","[0.8526778066746611, 0.7643, 0.7922]"
