,Diag: Autism Spectrum Disorder,Diag: ADHD-Combined Type,Diag: Language Disorder,Diag: No Diagnosis Given,Diag: Oppositional Defiant Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: Specific Phobia,Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: ADHD-Inattentive Type
40,"0.7707,0.7738","0.5556,0.6954","0.635,0.6074","0.6265,0.5706","0.6454,0.5324","0.5914,0.5425","0.56,0.5943","0.494,0.602","0.5844,0.486","0.5435,0.5606","0.5909,0.4893","0.4783,0.5336"
39,"0.7707,0.7738","0.5556,0.6954","0.635,0.5931","0.6144,0.5818","0.6454,0.5312","0.6129,0.4918","0.63,0.5566","0.494,0.602","0.5844,0.486","0.5435,0.5527","0.5909,0.4904","0.4819,0.5308"
38,"0.7707,0.7726","0.5556,0.6954","0.6423,0.5823","0.6144,0.583","0.6454,0.5312","0.543,0.5868","0.63,0.5474","0.494,0.602","0.5844,0.486","0.5435,0.5515","0.6022,0.4893","0.4638,0.5651"
37,"0.7707,0.7738","0.5556,0.6954","0.635,0.6026","0.5783,0.5964","0.6454,0.5216","0.4946,0.6337","0.56,0.5886","0.494,0.602","0.5844,0.486","0.5435,0.5481","0.5909,0.5006","0.4746,0.5336"
36,"0.7707,0.7824","0.5556,0.6954","0.635,0.6098","0.5783,0.5975","0.6383,0.5276","0.5323,0.5957","0.58,0.5714","0.494,0.602","0.5844,0.486","0.5217,0.5538","0.5909,0.4724","0.4819,0.535"
35,"0.7707,0.7812","0.5556,0.6954","0.635,0.6098","0.5783,0.5998","0.6383,0.5516","0.5484,0.5944","0.47,0.664","0.494,0.602","0.5844,0.486","0.5217,0.5583","0.5682,0.5242","0.4819,0.5336"
34,"0.7707,0.7824","0.5556,0.6954","0.6058,0.6384","0.6144,0.5863","0.6383,0.5444","0.5376,0.5932","0.46,0.6743","0.494,0.602","0.5844,0.486","0.5217,0.5606","0.5454,0.5366","0.4819,0.5336"
33,"0.7707,0.7848","0.5556,0.6954","0.6058,0.6384","0.6144,0.5841","0.6312,0.5516","0.5376,0.597","0.47,0.656","0.494,0.602","0.5844,0.486","0.5217,0.5617","0.5454,0.54","0.4783,0.5236"
32,"0.7707,0.7873","0.5556,0.6954","0.6204,0.6336","0.6747,0.5482","0.5532,0.6403","0.5645,0.5881","0.49,0.6514","0.494,0.602","0.5844,0.486","0.5543,0.5538","0.5568,0.531","0.4783,0.5308"
31,"0.7707,0.7836","0.5556,0.6954","0.6204,0.6301","0.5783,0.6087","0.5532,0.6403","0.5591,0.5932","0.49,0.6514","0.494,0.602","0.5844,0.486","0.5543,0.5538","0.5568,0.5209","0.4601,0.5479"
