,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
25,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7191251477265659, 0.5725, 0.7511]","[0.6306595474104141, 0.6204, 0.6026]","[0.5793061858620548, 0.4785, 0.6109]","[0.820242656449553, 0.7778, 0.7011]","[0.8201868168372431, 0.8441, 0.6553]","[0.7796685714285714, 0.67, 0.7406]","[0.5792764169314338, 0.5909, 0.5175]","[0.6278297044680965, 0.5301, 0.6536]","[0.8108326974288695, 0.5923, 0.8496]"
26,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7204002612427691, 0.5761, 0.7425]","[0.6320793338327265, 0.6277, 0.5656]","[0.5814253785246059, 0.5054, 0.5881]","[0.8204795451736497, 0.7921, 0.681]","[0.8201868168372431, 0.8441, 0.6553]","[0.782697142857143, 0.66, 0.7611]","[0.5792764169314338, 0.5909, 0.5175]","[0.6278026905829597, 0.5301, 0.6536]","[0.8106380327970971, 0.6178, 0.824]"
27,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7203121436420559, 0.6123, 0.7182]","[0.6325758235632285, 0.5766, 0.6408]","[0.58082573558472, 0.4946, 0.602]","[0.8206443373295431, 0.7957, 0.6796]","[0.8201868168372431, 0.8441, 0.6553]","[0.78424, 0.67, 0.7566]","[0.5792764169314338, 0.5909, 0.5175]","[0.6276811280998432, 0.5301, 0.6547]","[0.8120318315605874, 0.6051, 0.8423]"
28,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7203121436420559, 0.6123, 0.7182]","[0.6328719753322997, 0.5474, 0.6599]","[0.5808802485792551, 0.4946, 0.5995]","[0.8206185885551848, 0.7993, 0.681]","[0.8201551797775914, 0.8441, 0.6553]","[0.7842514285714285, 0.67, 0.7566]","[0.5792764169314338, 0.5909, 0.5175]","[0.6269922740288508, 0.5301, 0.6558]","[0.8134334169093485, 0.586, 0.8435]"
29,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205505795028093, 0.6377, 0.6795]","[0.6330331167360591, 0.5766, 0.636]","[0.5810097169412759, 0.4892, 0.5944]","[0.8182908993531909, 0.7312, 0.7299]","[0.820194726102156, 0.8441, 0.6553]","[0.7833485714285714, 0.66, 0.7669]","[0.5792764169314338, 0.5909, 0.5175]","[0.6270327948565563, 0.5301, 0.6547]","[0.8132309656923054, 0.6306, 0.824]"
30,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205713130559184, 0.6377, 0.671]","[0.6318964165635943, 0.5985, 0.6229]","[0.5810165310655927, 0.4892, 0.597]","[0.8190582128290693, 0.7491, 0.7169]","[0.8201868168372431, 0.8441, 0.6553]","[0.7833257142857143, 0.66, 0.7669]","[0.5792764169314338, 0.5909, 0.5175]","[0.628234912745151, 0.5301, 0.667]","[0.8108171242583277, 0.586, 0.8582]"
31,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205764964441956, 0.6377, 0.671]","[0.631887706217445, 0.5985, 0.6229]","[0.5806349401038472, 0.4839, 0.6084]","[0.8192487537593212, 0.7491, 0.7184]","[0.8201630890425045, 0.8441, 0.6553]","[0.7833371428571428, 0.66, 0.7669]","[0.5792764169314338, 0.5909, 0.5175]","[0.62753255173159, 0.5422, 0.6603]","[0.8104277949947829, 0.586, 0.8423]"
32,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732544684622581, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205661296676412, 0.6377, 0.671]","[0.6305332473912513, 0.635, 0.5549]","[0.5809211333251564, 0.4785, 0.597]","[0.819279652288551, 0.7491, 0.7184]","[0.820186816837243, 0.8441, 0.6553]","[0.7824685714285714, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6254254686909072, 0.5422, 0.6536]","[0.810653605967639, 0.586, 0.8423]"
33,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205713130559184, 0.6377, 0.671]","[0.6303111335644478, 0.635, 0.5549]","[0.5801443231530315, 0.4731, 0.6046]","[0.8197946277757179, 0.7383, 0.7284]","[0.8201868168372431, 0.8441, 0.6553]","[0.7824685714285714, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6226768058782214, 0.5181, 0.6424]","[0.8105757401149299, 0.5923, 0.8398]"
34,"[0.8250038267258534, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205661296676411, 0.6377, 0.671]","[0.6295359127571729, 0.635, 0.5453]","[0.5801647655259823, 0.4731, 0.6046]","[0.8196658839039263, 0.7455, 0.7213]","[0.8201868168372431, 0.8441, 0.6553]","[0.7825028571428571, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6225147225673997, 0.5181, 0.6457]","[0.8132309656923054, 0.5478, 0.8618]"
