,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
22,"[0.7394509923975713, 0.6666, 0.6679]","[0.605790536215471, 0.6521, 0.5277]","[0.7280512183262196, 0.7349, 0.62]","[0.6905517198482304, 0.692, 0.6023]","[0.6693334843126666, 0.4891, 0.7267]","[0.5733949330171579, 0.414, 0.6692]","[0.7647437481975858, 0.6595, 0.7399]","[0.7101214863090625, 0.6039, 0.6979]","[0.7908571428571429, 0.8099, 0.6423]","[0.5119017115916777, 0.3978, 0.6505]","[0.4968731427953968, 0.5181, 0.4966]","[0.8816906233940168, 0.7961, 0.8007]"
23,"[0.7423167848699764, 0.6737, 0.6595]","[0.605790536215471, 0.6521, 0.5277]","[0.7274028850829326, 0.6867, 0.6424]","[0.6862417324956979, 0.6884, 0.6009]","[0.674250474713865, 0.5839, 0.6814]","[0.5712689262302901, 0.3979, 0.6882]","[0.7647076999134841, 0.7419, 0.6537]","[0.7114265150196941, 0.5909, 0.7028]","[0.79224, 0.7799, 0.6537]","[0.5146561443066516, 0.4091, 0.646]","[0.4966907990707223, 0.5181, 0.4787]","[0.8835983367853862, 0.8089, 0.7971]"
24,"[0.7415684473697637, 0.6454, 0.6775]","[0.605790536215471, 0.6521, 0.5277]","[0.7274028850829326, 0.6867, 0.6424]","[0.6839325330181834, 0.692, 0.5837]","[0.6801038273260979, 0.6058, 0.6778]","[0.5721820188887526, 0.3979, 0.6933]","[0.7661959790713961, 0.6774, 0.7241]","[0.7125812676969803, 0.5779, 0.715]","[0.7919314285714285, 0.7999, 0.6491]","[0.5190504253356565, 0.4091, 0.6223]","[0.49569128532065476, 0.5301, 0.4697]","[0.8853814648124212, 0.8471, 0.7958]"
25,"[0.7436178716601188, 0.539, 0.7446]","[0.6058028460288541, 0.6521, 0.5277]","[0.7274028850829326, 0.6867, 0.6424]","[0.6849899442267422, 0.692, 0.5908]","[0.6821507586711497, 0.5839, 0.6969]","[0.573626613243932, 0.3871, 0.7085]","[0.7678953981790467, 0.7491, 0.6451]","[0.7125891769618932, 0.5454, 0.7259]","[0.7938514285714287, 0.7599, 0.6743]","[0.5324766834067849, 0.4205, 0.6584]","[0.49569128532065476, 0.5301, 0.4697]","[0.8851400806690235, 0.777, 0.8166]"
26,"[0.7431671683929452, 0.5106, 0.7998]","[0.605790536215471, 0.6521, 0.5277]","[0.7283281106488736, 0.7469, 0.5942]","[0.6849847608384649, 0.692, 0.5908]","[0.6828388760169329, 0.6058, 0.6754]","[0.570696539787672, 0.3925, 0.6958]","[0.7678696494046883, 0.7491, 0.6451]","[0.7154839679200216, 0.539, 0.7393]","[0.7903657142857142, 0.7799, 0.6869]","[0.5320154760684637, 0.4886, 0.5614]","[0.49567777837808635, 0.5301, 0.4697]","[0.8850700014015853, 0.8344, 0.7934]"
27,"[0.7433202374270795, 0.539, 0.741]","[0.6058028460288543, 0.6521, 0.5277]","[0.7283618780052947, 0.7108, 0.6345]","[0.6839117994650743, 0.692, 0.5823]","[0.6832743933243908, 0.5328, 0.71]","[0.5688907968436976, 0.4301, 0.6515]","[0.7648930910888642, 0.6989, 0.7026]","[0.7174533748833383, 0.5454, 0.7515]","[0.7898628571428572, 0.74, 0.6994]","[0.5445193194629496, 0.4773, 0.593]","[0.4956777783780863, 0.5301, 0.4697]","[0.8852335196922743, 0.7898, 0.8117]"
28,"[0.7432862220861608, 0.539, 0.741]","[0.6058028460288541, 0.6521, 0.5277]","[0.7283078502350208, 0.7108, 0.6368]","[0.6832068586593685, 0.6558, 0.6323]","[0.6834747312858214, 0.5328, 0.71]","[0.5698788448696459, 0.4301, 0.6527]","[0.7635644543319737, 0.6917, 0.7083]","[0.7185883543983422, 0.5519, 0.7296]","[0.7908914285714286, 0.74, 0.6983]","[0.5407143589217998, 0.4659, 0.6189]","[0.4971095142903452, 0.5301, 0.4709]","[0.8876862940526061, 0.8598, 0.7861]"
29,"[0.7399187033352042, 0.539, 0.7386]","[0.605790536215471, 0.6521, 0.5277]","[0.7290912529039927, 0.6506, 0.6906]","[0.6851195289336733, 0.6993, 0.6023]","[0.679720572095535, 0.562, 0.6862]","[0.5692723878054431, 0.3549, 0.7224]","[0.7635644543319737, 0.6917, 0.7083]","[0.7198142904598447, 0.6623, 0.6565]","[0.7928457142857144, 0.7699, 0.704]","[0.5404965665675925, 0.4091, 0.6223]","[0.4971095142903452, 0.5301, 0.4709]","[0.8858486599286748, 0.7834, 0.8166]"
30,"[0.7351480517713489, 0.5745, 0.7122]","[0.605790536215471, 0.6521, 0.5277]","[0.7285374682586849, 0.6506, 0.6951]","[0.68516358773403, 0.6993, 0.6023]","[0.6796944410570877, 0.562, 0.6873]","[0.5702876923286588, 0.4086, 0.6502]","[0.7633018168335188, 0.7061, 0.6853]","[0.7178053371719633, 0.6169, 0.6784]","[0.7931085714285715, 0.8099, 0.6766]","[0.5420595469919032, 0.4205, 0.6257]","[0.5003241666216435, 0.5301, 0.472]","[0.8870711538162054, 0.8407, 0.7995]"
31,"[0.7326224127081314, 0.5674, 0.711]","[0.605790536215471, 0.6521, 0.5277]","[0.728483440488411, 0.6385, 0.6951]","[0.685881487010429, 0.7029, 0.5994]","[0.6807396825949863, 0.6642, 0.6217]","[0.5701854804639056, 0.4355, 0.6337]","[0.7632091212458286, 0.6989, 0.6853]","[0.7205814891563977, 0.5974, 0.6943]","[0.7923314285714285, 0.45, 0.8766]","[0.5372681151993441, 0.4091, 0.6618]","[0.500310659679075, 0.5301, 0.472]","[0.8871256599131018, 0.7834, 0.8313]"
