,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
27,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075274508838445, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593218124488267, 0.4599, 0.5967]","[0.5519713261648747, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884690826834553, 0.5649, 0.5639]","[0.5697371428571429, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7283922258732656, 0.7133, 0.6235]"
28,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075151410704615, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372825568617694, 0.721, 0.6009]","[0.5593131021026776, 0.4599, 0.5967]","[0.5519576979162408, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884769919483683, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7283922258732656, 0.7133, 0.6235]"
29,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075151410704614, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372825568617695, 0.721, 0.6009]","[0.5593566538334233, 0.4599, 0.5967]","[0.5519781402891915, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884849012132813, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7283922258732656, 0.7133, 0.6235]"
30,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075274508838445, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593131021026776, 0.4599, 0.5967]","[0.5519849544135083, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884928104781941, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284000124585365, 0.7133, 0.6235]"
31,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075274508838445, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593218124488267, 0.4599, 0.5967]","[0.5519576979162408, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884611734185425, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284000124585365, 0.7133, 0.6235]"
32,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075397606972278, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593131021026776, 0.4599, 0.5967]","[0.5519781402891915, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884769919483683, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.619826840996272, 0.6867, 0.4451]","[0.7284000124585365, 0.7133, 0.6235]"
33,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075274508838445, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372825568617695, 0.721, 0.6009]","[0.5593218124488267, 0.4599, 0.5967]","[0.5519645120405576, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884769919483683, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284000124585365, 0.7133, 0.6235]"
34,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075397606972278, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593131021026776, 0.4599, 0.5967]","[0.5519849544135084, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884928104781941, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7283922258732656, 0.7133, 0.6235]"
35,"[0.7062392639080225, 0.7092, 0.5635]","[0.5075151410704614, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593043917565285, 0.4599, 0.5967]","[0.5519849544135084, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884849012132812, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7283922258732655, 0.7133, 0.6235]"
36,"[0.706230760072793, 0.7092, 0.5635]","[0.5075028312570782, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593131021026776, 0.4599, 0.5967]","[0.5519849544135084, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884928104781941, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284000124585364, 0.7133, 0.6235]"
37,"[0.7062477677432522, 0.7092, 0.5635]","[0.5075397606972278, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593131021026776, 0.4599, 0.5967]","[0.5519917685378252, 0.5806, 0.493]","[0.8355348535409713, 0.767, 0.7744]","[0.5884769919483683, 0.5649, 0.5639]","[0.5697599999999999, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7283844392879947, 0.7133, 0.6235]"
38,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075274508838445, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593043917565285, 0.4599, 0.5967]","[0.5519440696676071, 0.5806, 0.493]","[0.8355348535409713, 0.767, 0.7744]","[0.5884532641536295, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198673618239776, 0.6867, 0.4451]","[0.7283922258732656, 0.7133, 0.6235]"
39,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075151410704614, 0.4022, 0.6002]","[0.7350883354043979, 0.6265, 0.676]","[0.7372773734734922, 0.721, 0.6009]","[0.559330522794976, 0.4599, 0.5967]","[0.5519781402891915, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884928104781941, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7283844392879946, 0.7133, 0.6235]"
40,"[0.7062392639080226, 0.7092, 0.5635]","[0.5075151410704615, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593131021026776, 0.4599, 0.5967]","[0.5519713261648745, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5885007197431071, 0.5649, 0.5639]","[0.5697371428571429, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284077990438073, 0.7133, 0.6235]"
41,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075151410704614, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372825568617695, 0.721, 0.6009]","[0.5593218124488267, 0.4599, 0.5967]","[0.5519781402891915, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884769919483683, 0.5649, 0.5639]","[0.5697371428571429, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284000124585365, 0.7133, 0.6235]"
42,"[0.7062307600727928, 0.7092, 0.5635]","[0.5075274508838445, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593043917565285, 0.4599, 0.5967]","[0.5519781402891915, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884849012132812, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7283844392879947, 0.7133, 0.6235]"
43,"[0.7062392639080225, 0.7092, 0.5635]","[0.5075274508838445, 0.4022, 0.6002]","[0.7350613215192608, 0.6265, 0.676]","[0.7372721900852148, 0.721, 0.6009]","[0.5593218124488267, 0.4599, 0.5967]","[0.5519576979162408, 0.5806, 0.493]","[0.835540003295843, 0.767, 0.7744]","[0.5884849012132812, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284155856290782, 0.7133, 0.6235]"
44,"[0.7062392639080225, 0.7092, 0.5635]","[0.5075274508838445, 0.4022, 0.6002]","[0.7350748284618293, 0.6265, 0.676]","[0.7372773734734921, 0.721, 0.6009]","[0.5593131021026776, 0.4599, 0.5967]","[0.551944069667607, 0.5806, 0.493]","[0.8355348535409713, 0.767, 0.7744]","[0.5884928104781941, 0.5649, 0.5639]","[0.5697257142857143, 0.44, 0.6606]","[0.5862201496361586, 0.4432, 0.6888]","[0.6198403479388406, 0.6867, 0.4451]","[0.7284155856290782, 0.7133, 0.6235]"
