,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
40,"[0.6776025987720463, 0.5815, 0.6787]","[0.5433490078290414, 0.5109, 0.5096]","[0.7073991031390134, 0.8192, 0.5247]","[0.5926919408679066, 0.4167, 0.7182]","[0.5673440412521994, 0.4964, 0.5811]","[0.555204628153236, 0.5806, 0.5095]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5239699702777493, 0.3409, 0.708]","[0.5971081635960884, 0.5662, 0.5852]","[0.8594521358603399, 0.7834, 0.8007]"
41,"[0.6775855911015868, 0.5815, 0.6787]","[0.5433366980156581, 0.5109, 0.5096]","[0.7073855961964449, 0.8192, 0.5247]","[0.5926971242561838, 0.4167, 0.7182]","[0.5673614619444977, 0.4964, 0.5811]","[0.5551909999046023, 0.5806, 0.5095]","[0.6571524945412598, 0.552, 0.6724]","[0.5801722637898034, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5239571589627959, 0.3409, 0.708]","[0.5970946566535199, 0.5662, 0.5852]","[0.8594521358603399, 0.7834, 0.8007]"
42,"[0.6775855911015868, 0.5815, 0.6787]","[0.5433366980156581, 0.5109, 0.5096]","[0.7073991031390134, 0.8192, 0.5247]","[0.5926919408679066, 0.4167, 0.7182]","[0.5673440412521994, 0.4964, 0.5811]","[0.5552114422775528, 0.5806, 0.5095]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5239315363328894, 0.3409, 0.708]","[0.5970946566535199, 0.5662, 0.5852]","[0.8594521358603399, 0.7834, 0.8007]"
43,"[0.6775855911015869, 0.5815, 0.6787]","[0.5433243882022748, 0.5109, 0.5096]","[0.7073855961964449, 0.8192, 0.5247]","[0.5926919408679066, 0.4167, 0.7182]","[0.5673527515983485, 0.4964, 0.5811]","[0.555204628153236, 0.5806, 0.5095]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5239571589627959, 0.3409, 0.708]","[0.5970946566535199, 0.5662, 0.5852]","[0.8594521358603399, 0.7834, 0.8007]"
44,"[0.6776025987720462, 0.5815, 0.6787]","[0.5433366980156581, 0.5109, 0.5096]","[0.7073855961964449, 0.8192, 0.5247]","[0.5926971242561838, 0.4167, 0.7182]","[0.5673527515983485, 0.4964, 0.5811]","[0.5552114422775528, 0.5806, 0.5095]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5239699702777493, 0.3409, 0.708]","[0.5971081635960884, 0.5662, 0.5852]","[0.8594521358603399, 0.7834, 0.8007]"
45,"[0.6775855911015868, 0.5815, 0.6787]","[0.5433366980156581, 0.5109, 0.5096]","[0.7073855961964449, 0.8192, 0.5247]","[0.5926971242561838, 0.4167, 0.7182]","[0.5673527515983485, 0.4964, 0.5811]","[0.5552114422775528, 0.5806, 0.5095]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5239699702777493, 0.3409, 0.708]","[0.5971081635960884, 0.5662, 0.5852]","[0.8594521358603399, 0.7834, 0.8007]"
46,"[0.6775770872663571, 0.5815, 0.6787]","[0.5433366980156581, 0.5109, 0.5096]","[0.7073855961964449, 0.8192, 0.5247]","[0.5926867574796293, 0.4167, 0.7182]","[0.5673614619444977, 0.4964, 0.5811]","[0.5552114422775529, 0.5806, 0.5095]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5239699702777493, 0.3409, 0.708]","[0.5971081635960884, 0.5662, 0.5852]","[0.8594521358603399, 0.7834, 0.8007]"
47,"[0.6776025987720463, 0.5815, 0.6787]","[0.5433366980156581, 0.5109, 0.5096]","[0.7073855961964449, 0.8192, 0.5247]","[0.5926971242561838, 0.4167, 0.7182]","[0.5673527515983485, 0.4964, 0.5811]","[0.555204628153236, 0.5806, 0.5095]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531200000000001, 0.6, 0.4594]","[0.5236753100338218, 0.3409, 0.708]","[0.5971081635960884, 0.5662, 0.5852]","[0.8594521358603399, 0.7834, 0.8007]"
48,"[0.6775855911015869, 0.5815, 0.6787]","[0.5433490078290414, 0.5109, 0.5096]","[0.7073855961964449, 0.8192, 0.5247]","[0.5926971242561838, 0.4167, 0.7182]","[0.5673527515983485, 0.4964, 0.5811]","[0.555204628153236, 0.5806, 0.5095]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5239315363328891, 0.3409, 0.708]","[0.5971081635960884, 0.5662, 0.5852]","[0.8594521358603399, 0.7834, 0.8007]"
49,"[0.6775770872663571, 0.5815, 0.6787]","[0.5433366980156581, 0.5109, 0.5096]","[0.7073855961964449, 0.8192, 0.5247]","[0.5926919408679066, 0.4167, 0.7182]","[0.5673527515983485, 0.4964, 0.5811]","[0.5552114422775528, 0.5806, 0.5095]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950646, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5239443476478426, 0.3409, 0.708]","[0.5971081635960884, 0.5662, 0.5852]","[0.8594521358603399, 0.7834, 0.8007]"
50,"[0.6776111026072759, 0.5815, 0.6787]","[0.5433366980156581, 0.5109, 0.5096]","[0.7073855961964449, 0.8192, 0.5247]","[0.5926919408679066, 0.4167, 0.7182]","[0.5673527515983485, 0.4964, 0.5811]","[0.5551978140289191, 0.5806, 0.5095]","[0.6571524945412598, 0.552, 0.6724]","[0.5801485359950647, 0.4481, 0.6577]","[0.5531314285714286, 0.6, 0.4594]","[0.5239443476478427, 0.3409, 0.708]","[0.5971081635960884, 0.5662, 0.5852]","[0.8594521358603399, 0.7834, 0.8007]"
