,Diag: Generalized Anxiety Disorder,Diag: Specific Phobia,Diag: Enuresis,Diag: Language Disorder,Diag: Autism Spectrum Disorder,Diag: No Diagnosis Given,Diag: Social Anxiety (Social Phobia),Diag: ADHD-Combined Type,Diag: Oppositional Defiant Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Inattentive Type,Diag: Specific Learning Disorder with Impairment in Mathematics
21,"[0.8543034310391192, 0.7792, 0.7832]","[0.7423679157023979, 0.6304, 0.7474]","[0.8948822194608028, 0.8553, 0.8643]","[0.7576520390920334, 0.6861, 0.7351]","[0.882188964851354, 0.8089, 0.8215]","[0.7807282943432925, 0.7228, 0.7478]","[0.8388285714285714, 0.8099, 0.7177]","[0.8517488567544186, 0.8064, 0.7256]","[0.8678674082010986, 0.7943, 0.7902]","[0.6336590484756804, 0.5645, 0.6236]","[0.7856046940764239, 0.6594, 0.7654]","[0.6609229271292405, 0.5114, 0.6607]"
22,"[0.8536785991109986, 0.7337, 0.8136]","[0.7392904623565908, 0.6304, 0.7361]","[0.8962531741315036, 0.8553, 0.8643]","[0.7648032332804905, 0.7299, 0.6957]","[0.884127824583807, 0.777, 0.8386]","[0.7807282943432925, 0.7228, 0.7478]","[0.8403142857142857, 0.7999, 0.7257]","[0.8519084991554402, 0.8028, 0.7342]","[0.862697076381448, 0.8226, 0.7386]","[0.6340678959346934, 0.5699, 0.6248]","[0.7861126661275942, 0.634, 0.7725]","[0.6608844931843805, 0.5114, 0.6607]"
23,"[0.854129427211035, 0.7402, 0.8088]","[0.739302772169974, 0.6304, 0.7361]","[0.8941393376195365, 0.8553, 0.8576]","[0.7646987091267007, 0.6934, 0.7005]","[0.8855138367620264, 0.777, 0.8398]","[0.7807282943432925, 0.7228, 0.7478]","[0.8431885714285714, 0.75, 0.7543]","[0.852516170230297, 0.8387, 0.704]","[0.8634454138816606, 0.8439, 0.7158]","[0.6326028592065633, 0.5591, 0.6274]","[0.787543281292115, 0.6014, 0.7926]","[0.6609101158142872, 0.5114, 0.6607]"
24,"[0.8529034911495327, 0.7662, 0.7954]","[0.739302772169974, 0.6304, 0.7361]","[0.894125830676968, 0.8553, 0.8576]","[0.7657352403184502, 0.7226, 0.6718]","[0.8860666843162599, 0.777, 0.8362]","[0.7807282943432925, 0.7228, 0.7478]","[0.8447085714285714, 0.8399, 0.7051]","[0.852531619494912, 0.8136, 0.7213]","[0.8636920251033217, 0.8581, 0.7134]","[0.6348651484797689, 0.5806, 0.6058]","[0.7835883560365741, 0.6775, 0.7511]","[0.6609229271292405, 0.5114, 0.6607]"
25,"[0.8524131167249315, 0.7792, 0.7807]","[0.739302772169974, 0.6304, 0.7361]","[0.8943284348154953, 0.8553, 0.852]","[0.7688535442398481, 0.708, 0.6993]","[0.8872658184479778, 0.7707, 0.8398]","[0.7813766275865794, 0.7228, 0.75]","[0.8467885714285713, 0.8299, 0.7051]","[0.8525367692497835, 0.8136, 0.7213]","[0.8638025749613076, 0.8581, 0.7098]","[0.6346266541286779, 0.586, 0.5957]","[0.7858223963840683, 0.7138, 0.6953]","[0.6609229271292405, 0.5114, 0.6607]"
26,"[0.8524131167249316, 0.7337, 0.81]","[0.739302772169974, 0.6304, 0.7361]","[0.8943284348154952, 0.8553, 0.852]","[0.7652823023186941, 0.6715, 0.7148]","[0.8900222696338747, 0.7643, 0.8533]","[0.7811064887352099, 0.7228, 0.75]","[0.8479657142857142, 0.7799, 0.752]","[0.8520166440077452, 0.8243, 0.7126]","[0.8641427283704951, 0.8581, 0.7122]","[0.6380677869087044, 0.5914, 0.5957]","[0.7853507080508387, 0.7138, 0.7067]","[0.6609229271292405, 0.5114, 0.6607]"
27,"[0.8518831959757661, 0.7337, 0.8136]","[0.7423740706090896, 0.6195, 0.7474]","[0.8935787995029445, 0.8553, 0.8531]","[0.7636708882811003, 0.6934, 0.6826]","[0.8901079220718546, 0.8152, 0.8117]","[0.7811064887352099, 0.7228, 0.75]","[0.8483314285714285, 0.8499, 0.7017]","[0.8520372430272319, 0.8243, 0.7126]","[0.8632243141656888, 0.8439, 0.7206]","[0.6334205541245894, 0.6451, 0.5501]","[0.7853766249922249, 0.6775, 0.7482]","[0.6609229271292405, 0.5114, 0.6607]"
28,"[0.851590553173988, 0.7662, 0.7771]","[0.7423740706090896, 0.6195, 0.7474]","[0.8936058133880815, 0.8553, 0.8531]","[0.764437398742226, 0.6715, 0.7434]","[0.8906451964555464, 0.7834, 0.8435]","[0.7812820789886001, 0.7228, 0.75]","[0.8487428571428571, 0.8499, 0.6983]","[0.8520269435174886, 0.8243, 0.7126]","[0.8626205418643809, 0.8368, 0.7182]","[0.6376589394496913, 0.6075, 0.5932]","[0.789144948269785, 0.6884, 0.7225]","[0.6609229271292405, 0.5114, 0.6618]"
29,"[0.8509578119809545, 0.7662, 0.7807]","[0.7423740706090896, 0.6195, 0.7474]","[0.8941663515046736, 0.8553, 0.8509]","[0.7638102538194868, 0.7883, 0.6193]","[0.8911591110834254, 0.8025, 0.8288]","[0.7849694743097952, 0.6867, 0.7578]","[0.8483542857142856, 0.8399, 0.7086]","[0.8525728175338854, 0.8638, 0.6767]","[0.8630032144497168, 0.8368, 0.7158]","[0.6348924049770364, 0.5914, 0.6046]","[0.788999813398022, 0.7536, 0.6652]","[0.6609101158142872, 0.5114, 0.6607]"
30,"[0.8517091921476818, 0.7792, 0.7661]","[0.7423740706090896, 0.6195, 0.7474]","[0.8887973418337025, 0.8553, 0.8531]","[0.764933888472728, 0.7956, 0.6074]","[0.8911279647423419, 0.8089, 0.8325]","[0.7835107245123994, 0.7108, 0.75]","[0.8486857142857143, 0.8499, 0.6994]","[0.8523668273390185, 0.853, 0.6868]","[0.8629351837678793, 0.8368, 0.7158]","[0.6347084236204805, 0.5914, 0.6033]","[0.7889116957973088, 0.7246, 0.6896]","[0.6609229271292405, 0.5114, 0.6618]"
