,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
21,"[0.8430319574127932, 0.8085, 0.7362]","[0.6957260327933428, 0.6304, 0.6568]","[0.7585634015884164, 0.6385, 0.7601]","[0.751663867636997, 0.7138, 0.6395]","[0.6749560127519467, 0.6131, 0.6229]","[0.6217241097346579, 0.5753, 0.6223]","[0.8266541012647799, 0.7813, 0.7313]","[0.8287683692677603, 0.7987, 0.6845]","[0.8197485714285713, 0.71, 0.7657]","[0.5569527006251922, 0.4432, 0.611]","[0.8171295045653466, 0.7228, 0.9047]","[0.8289559746468783, 0.8471, 0.6687]"
22,"[0.8432615609639948, 0.7943, 0.7602]","[0.6957260327933428, 0.6304, 0.6568]","[0.7585498946458479, 0.6385, 0.7601]","[0.7516742344135514, 0.7138, 0.6395]","[0.6770203647892967, 0.5109, 0.7518]","[0.6182591275195225, 0.4462, 0.73]","[0.8266644007745233, 0.7813, 0.7313]","[0.8291005583941029, 0.7922, 0.687]","[0.8203542857142857, 0.71, 0.7691]","[0.5527185610331045, 0.5, 0.5784]","[0.8171295045653466, 0.7228, 0.9047]","[0.8325728435052092, 0.8471, 0.6821]"
23,"[0.8441884790040307, 0.8014, 0.7338]","[0.6957260327933428, 0.6304, 0.6568]","[0.7591306931762926, 0.6024, 0.7881]","[0.753851257489996, 0.7029, 0.6624]","[0.6763583784819609, 0.4964, 0.7554]","[0.6182727557681562, 0.4462, 0.73]","[0.8266644007745232, 0.7813, 0.7313]","[0.828024898365946, 0.7987, 0.6845]","[0.8149828571428571, 0.7, 0.7829]","[0.550361279081685, 0.4091, 0.6652]","[0.8171295045653466, 0.7228, 0.9047]","[0.832440471555604, 0.8216, 0.7029]"
24,"[0.8440098984642074, 0.773, 0.7734]","[0.6957260327933428, 0.6304, 0.6568]","[0.759144200118861, 0.6024, 0.7881]","[0.7549345856399412, 0.7029, 0.6638]","[0.6800602755953522, 0.5036, 0.7446]","[0.6173324066124263, 0.586, 0.602]","[0.8266489515099082, 0.7813, 0.7313]","[0.8301129443029566, 0.7987, 0.6821]","[0.814542857142857, 0.69, 0.784]","[0.5520908066003896, 0.5, 0.5874]","[0.8171295045653466, 0.7228, 0.9047]","[0.8327402550885334, 0.828, 0.6993]"
25,"[0.8443925710495434, 0.773, 0.771]","[0.6957260327933428, 0.6304, 0.6568]","[0.7630882273488573, 0.6626, 0.7578]","[0.7549345856399411, 0.7029, 0.6638]","[0.6810184136717592, 0.5036, 0.7446]","[0.6173187783637926, 0.586, 0.602]","[0.826618052980678, 0.7849, 0.727]","[0.8296621162029201, 0.7922, 0.6882]","[0.8175257142857144, 0.7, 0.7726]","[0.5459926206825869, 0.4205, 0.6065]","[0.8171295045653466, 0.7228, 0.9047]","[0.8374628190553315, 0.8152, 0.7249]"
26,"[0.8444350902256919, 0.7801, 0.7566]","[0.6957260327933428, 0.6304, 0.6568]","[0.7635879842238911, 0.6506, 0.7578]","[0.7549553191930501, 0.7029, 0.6638]","[0.6772381234430256, 0.5109, 0.7327]","[0.6173324066124263, 0.586, 0.602]","[0.8267030239360607, 0.7849, 0.727]","[0.831682933388171, 0.7792, 0.6991]","[0.8172971428571429, 0.7, 0.7851]","[0.5503933073690683, 0.5114, 0.593]","[0.8171295045653466, 0.7228, 0.9047]","[0.84036332206874, 0.8407, 0.709]"
27,"[0.8444350902256919, 0.7801, 0.7566]","[0.6957260327933428, 0.6304, 0.6568]","[0.7636014911664596, 0.6506, 0.7578]","[0.7549553191930501, 0.7029, 0.6638]","[0.6788103409229482, 0.3577, 0.8186]","[0.6173324066124263, 0.586, 0.602]","[0.8266978741811889, 0.7849, 0.727]","[0.8316038407390417, 0.7792, 0.7004]","[0.8151657142857143, 0.68, 0.8057]","[0.5603220764579276, 0.5682, 0.5614]","[0.8171295045653466, 0.7228, 0.9047]","[0.840955102549328, 0.8471, 0.7017]"
28,"[0.8453450005952685, 0.773, 0.7614]","[0.6957260327933428, 0.6304, 0.6568]","[0.7640877410989249, 0.6867, 0.7321]","[0.7549501358047729, 0.7029, 0.6638]","[0.679184885807362, 0.4818, 0.7446]","[0.6195981029477902, 0.5699, 0.6147]","[0.826806019033494, 0.7419, 0.7529]","[0.8314377461758704, 0.7792, 0.7077]","[0.8122514285714286, 0.7, 0.784]","[0.5625640565747668, 0.5454, 0.5603]","[0.8171295045653466, 0.7228, 0.9047]","[0.8421659165589522, 0.8025, 0.7372]"
29,"[0.8451239008792966, 0.773, 0.7602]","[0.6957260327933428, 0.6304, 0.6568]","[0.7640877410989249, 0.6867, 0.7321]","[0.7540715514917792, 0.721, 0.6438]","[0.679215372018884, 0.4161, 0.7876]","[0.6189848317592705, 0.586, 0.602]","[0.826806019033494, 0.7419, 0.7529]","[0.8325766803233308, 0.7857, 0.7065]","[0.8131371428571428, 0.7, 0.7851]","[0.56253843394486, 0.4546, 0.646]","[0.8171295045653466, 0.7228, 0.9047]","[0.8410251818167661, 0.8407, 0.698]"
30,"[0.8442054866744901, 0.8156, 0.7302]","[0.6957260327933428, 0.6304, 0.6568]","[0.7640877410989249, 0.6867, 0.7321]","[0.7540715514917792, 0.721, 0.6438]","[0.6800123686915318, 0.4234, 0.7947]","[0.6219046840290554, 0.6559, 0.5488]","[0.8268060190334939, 0.7419, 0.7529]","[0.832734865621589, 0.7987, 0.7016]","[0.8123942857142857, 0.69, 0.7886]","[0.5583683509275392, 0.4546, 0.6449]","[0.8171295045653466, 0.7228, 0.9047]","[0.8403360690202918, 0.828, 0.72]"
